,random_diss,qsampled_diss,qsampled_diss_pos,m2_diss,m2_diss_pos,m3_diss,random_resp,qsampled_resp,m2_resp,m3_resp
67,0.4604726655009273,0.3849030914453293,0.4186137981338547,0.26691201555381017,0.2562853235866603,0.437635748327106,4,4,5,5
68,0.45699239484916787,0.37975763263275464,0.4269681685118955,0.2648162899639077,0.2623674836624587,0.44039922794482644,2,1,4,5
69,0.4536213515758667,0.3896419953660244,0.435399512920567,0.2548031162155271,0.2679528304665201,0.449384160588608,2,1,2,1
70,0.45510332506322704,0.3792992365077407,0.4394786249778503,0.26160552211155313,0.27390186291481206,0.4516682384227189,5,1,5,5
71,0.4489149179340182,0.3800211755839602,0.4440222728946554,0.2717424582058563,0.26104397380607364,0.4501035274634002,3,1,3,4
72,0.44268395827945,0.38572939423855146,0.4497582020062247,0.2696337673983994,0.2695332246475223,0.45663202293698063,2,2,2,5
73,0.44304905688877166,0.37194489993242136,0.44482176473908946,0.2644144311957527,0.2735796322895238,0.4408472212703349,5,3,2,5
74,0.44703448602300466,0.3670364282507827,0.45100407000548565,0.2684247646309612,0.2710210313411296,0.4456579635542235,5,2,3,5
75,0.448914019069107,0.36213347994797324,0.4582277006633082,0.2705008607019826,0.26387982466981336,0.4412998033901482,2,1,4,5
76,0.43815805815795095,0.3640612415300513,0.46338280741764043,0.26902891088289127,0.2620349677577071,0.45007038362358065,5,2,5,5
77,0.44104682459086053,0.3690300834539683,0.4705576331930642,0.2651618093075071,0.26945083625845684,0.44616391497006863,4,1,2,4
78,0.43908974600192,0.37939315919247296,0.46894751398795476,0.2630740288623456,0.2660306557318757,0.4437134760586911,3,4,3,3
79,0.43752855560617354,0.36916577375785414,0.46417485191948565,0.2566296970112557,0.2630450819625635,0.4335808464051829,3,3,5,4
80,0.4328885410562072,0.3731097132861418,0.47018809412254703,0.2534614291469192,0.2597317162083429,0.42825225891110247,3,1,4,4
81,0.43051199352742503,0.3705050368723372,0.47027187392135406,0.2436013314368382,0.2621435261042652,0.43182950804700077,4,2,3,5
82,0.43347514896715456,0.3666364471927071,0.470260746675489,0.24115299153009687,0.2645737182060041,0.4351126549348736,3,1,2,4
83,0.4328332974272208,0.3657775609160015,0.4640176964582891,0.24562308038520989,0.2623147787508782,0.43602810302423367,2,1,3,4
84,0.4331828511561956,0.36180082464576974,0.46428809713529423,0.25203338033622263,0.2615412734605242,0.44240643956231557,1,2,4,5
85,0.43978413335669786,0.3564374016757375,0.4649787290984284,0.24936231375480064,0.25864669273698215,0.4411481978746124,1,2,3,5
86,0.4438217264808351,0.361598028193635,0.47150260633906255,0.24897835654702083,0.2682374395926566,0.44161002388236326,2,5,1,4
87,0.44767130842909036,0.35416349255264384,0.47750825853975504,0.25541097334503626,0.26527286751053725,0.4468934905481976,4,1,5,5
88,0.4359582602338385,0.3589141820153494,0.472227888146453,0.2610418661945064,0.26523471224056705,0.44281625504165695,2,5,4,2
